# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.882644,-0.038494,0.020411,-0.468019,0.000000,0.000000,0.000000
0.450000,-0.000000,-0.000000,668.000000,-0.000000,-0.000000,-0.000000,0.882644,-0.038494,0.020411,-0.468019,-0.000000,0.000000,0.000000
0.900000,0.055687,0.037747,668.769824,0.507037,0.343687,7.009282,0.882644,-0.038494,0.020411,-0.468019,-0.000000,0.000000,0.000000
1.350000,0.695581,0.468363,677.422962,2.601645,1.729204,33.857780,0.882659,-0.038589,0.019921,-0.468003,0.003363,-0.011351,0.000000
1.800000,2.558451,1.732257,701.399606,5.699281,4.035510,74.217694,0.882859,-0.040482,0.012230,-0.467731,0.013506,-0.061163,0.000000
2.250000,5.613849,4.140193,742.880706,7.551874,6.630081,107.094871,0.883046,-0.046156,-0.004587,-0.466988,0.006557,-0.075736,0.000000
2.700000,9.107470,7.508898,794.035999,7.865586,8.123949,117.418317,0.882924,-0.050656,-0.010255,-0.466663,-0.016143,0.018160,0.000000
3.150000,12.661747,11.252596,846.636310,7.940687,8.386644,115.427337,0.882806,-0.049949,-0.002002,-0.467071,-0.007451,0.023713,0.000000
3.600000,16.261571,15.015176,897.689976,8.044292,8.324625,111.337021,0.882800,-0.051056,-0.004166,-0.466947,0.004058,-0.039364,0.000000
4.050000,19.880074,18.751301,946.752380,8.017014,8.289582,106.628409,0.882731,-0.055077,-0.011852,-0.466488,-0.005635,-0.024669,0.000000
4.500000,23.471219,22.476527,993.602521,7.949353,8.254943,101.532354,0.882593,-0.057492,-0.011663,-0.466463,-0.011761,0.010139,0.000000
4.950000,27.042791,26.165457,1038.080187,7.933521,8.132456,96.167796,0.882486,-0.058634,-0.009254,-0.466578,-0.006423,-0.002700,0.000000
5.400000,30.613375,29.791603,1080.155335,7.932705,7.986142,90.846696,0.882391,-0.061159,-0.011963,-0.466373,-0.003475,-0.026288,0.000000
5.850000,34.177327,33.356929,1119.847141,7.900074,7.856605,85.506538,0.882229,-0.065054,-0.016890,-0.465999,-0.007411,-0.024544,0.000000
6.300000,37.721168,36.863793,1157.107493,7.851415,7.731481,80.116278,0.882008,-0.068853,-0.019346,-0.465776,-0.011852,-0.010938,0.000000
