# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.881508,-0.048604,0.025856,-0.468949,0.000000,0.000000,0.000000
0.450000,-0.000000,-0.000000,668.000000,-0.000000,-0.000000,-0.000000,0.881508,-0.048604,0.025856,-0.468949,0.000000,-0.000000,0.000000
0.900000,0.082737,0.055755,668.901995,0.730345,0.492168,7.962208,0.881508,-0.048604,0.025856,-0.468949,0.000000,-0.000000,0.000000
1.350000,0.984409,0.659273,678.491728,3.622935,2.402805,37.196710,0.881533,-0.048771,0.025193,-0.468920,0.003294,-0.013999,0.000000
1.800000,3.548436,2.399459,704.632969,7.803960,5.515911,80.421558,0.881790,-0.051479,0.016867,-0.468521,0.008815,-0.065779,0.000000
2.250000,7.747849,5.653492,749.298621,10.458964,8.852780,114.668135,0.881991,-0.058709,0.001350,-0.467594,-0.004985,-0.063442,0.000000
2.700000,12.647228,10.096408,803.896496,11.157110,10.592735,124.983240,0.881802,-0.062801,0.000120,-0.467420,-0.016700,0.032624,0.000000
3.150000,17.711860,14.939419,859.803516,11.328098,10.793740,122.594242,0.881643,-0.061541,0.007081,-0.467834,-0.001553,0.003888,0.000000
3.600000,22.829400,19.776443,914.007969,11.386119,10.705341,118.172521,0.881670,-0.064346,0.001751,-0.467455,-0.002463,-0.041958,0.000000
4.050000,27.936209,24.584272,966.072127,11.299017,10.664987,113.139222,0.881544,-0.068673,-0.002523,-0.467073,-0.012372,-0.003766,0.000000
4.500000,33.001413,29.365288,1015.781695,11.221188,10.561528,107.722873,0.881360,-0.070187,0.000305,-0.467202,-0.009577,0.009087,0.000000
4.950000,38.039899,34.074210,1062.984997,11.173518,10.363992,102.085934,0.881248,-0.072015,0.000235,-0.467135,-0.005701,-0.018172,0.000000
5.400000,43.053408,38.695244,1107.664718,11.103251,10.182151,96.510786,0.881120,-0.075985,-0.003867,-0.466731,-0.009329,-0.024995,0.000000
5.850000,48.029435,43.243152,1149.853676,11.009227,10.026251,90.958851,0.880893,-0.080199,-0.006193,-0.466431,-0.013622,-0.010160,0.000000
6.300000,52.963918,47.717669,1189.535764,10.926555,9.859252,85.430235,0.880624,-0.083603,-0.005857,-0.466344,-0.014076,-0.004383,0.000000
6.750000,57.866955,52.115242,1226.761579,10.867346,9.685001,80.039509,0.880351,-0.087156,-0.006005,-0.466208,-0.013490,-0.013033,0.000000
7.200000,62.745440,56.435145,1261.589918,10.814617,9.517007,74.772643,0.880041,-0.091833,-0.008132,-0.465864,-0.014924,-0.022294,0.000000
7.650000,67.599593,60.683288,1294.073544,10.758883,9.366822,69.616596,0.879638,-0.097594,-0.011127,-0.465392,-0.018224,-0.024181,0.000000
8.100000,72.428404,64.867777,1324.260029,10.702751,9.233207,64.561587,0.879118,-0.103973,-0.013578,-0.464927,-0.021898,-0.021559,0.000000
8.550000,77.232329,68.994875,1352.192698,10.648716,9.110778,59.598191,0.878476,-0.110780,-0.015017,-0.464524,-0.025957,-0.018527,0.000000
9.000000,82.013173,73.068277,1377.910880,10.600697,8.993849,54.718067,0.877689,-0.118230,-0.015684,-0.464152,-0.030206,-0.018597,0.000000
9.450000,86.774021,77.089875,1401.450336,10.559703,8.880536,49.913713,0.876724,-0.126739,-0.016301,-0.463710,-0.034640,-0.022474,0.000000
9.900000,91.517677,81.061441,1422.843434,10.523872,8.771756,45.177470,0.875528,-0.136704,-0.017454,-0.463095,-0.039669,-0.028699,0.000000
10.350000,96.245930,84.985342,1442.119205,10.490896,8.668849,40.502186,0.874028,-0.148444,-0.019355,-0.462238,-0.045783,-0.035737,0.000000
10.800000,100.959682,88.864352,1459.303528,10.459266,8.572237,35.881101,0.872118,-0.162241,-0.021942,-0.461093,-0.053375,-0.042901,0.000000
11.250000,105.659381,92.701230,1474.419408,10.428408,8.481438,31.308126,0.869653,-0.178409,-0.025068,-0.459615,-0.062744,-0.050306,0.000000
11.700000,110.345357,96.498379,1487.487215,10.398286,8.395507,26.777670,0.866439,-0.197345,-0.028628,-0.457733,-0.074137,-0.058457,0.000000
12.150000,115.017968,100.257776,1498.524919,10.369046,8.313507,22.284651,0.862216,-0.219530,-0.032594,-0.455332,-0.087786,-0.067918,0.000000
12.600000,119.677642,103.981010,1507.548264,10.340801,8.234673,17.824157,0.856638,-0.245512,-0.037016,-0.452244,-0.103888,-0.079125,0.000000
13.050000,124.324840,107.669378,1514.570848,10.313572,8.158485,13.391597,0.849247,-0.275871,-0.041988,-0.448230,-0.122584,-0.092331,0.000000
13.500000,128.959988,111.323943,1519.604300,10.287209,8.084324,8.982991,0.839453,-0.311161,-0.047612,-0.442979,-0.143989,-0.107669,0.000000
13.950000,133.583360,114.945294,1522.658763,10.261082,8.010421,4.595845,0.826487,-0.351903,-0.053992,-0.436084,-0.168506,-0.125427,0.000000
14.400000,138.194740,118.532651,1523.744179,10.233468,7.932000,0.231966,0.809304,-0.398694,-0.061236,-0.426991,-0.197754,-0.146759,0.000000
14.850000,142.792793,122.082113,1522.872160,10.201303,7.840480,-4.097154,0.786263,-0.452622,-0.069520,-0.414835,-0.236075,-0.174821,0.000000
15.300000,147.374811,125.585951,1520.064871,10.161951,7.728546,-8.366959,0.754515,-0.515699,-0.079149,-0.398119,-0.290526,-0.214785,0.000000
15.750000,151.937804,129.035753,1515.355088,10.117287,7.601945,-12.542281,0.709284,-0.590455,-0.090502,-0.374336,-0.367218,-0.271129,0.000000
16.200000,156.481919,132.432287,1508.787482,10.084542,7.510430,-16.664802,0.642289,-0.679418,-0.103950,-0.339137,-0.467669,-0.344943,0.000000
16.650000,160.933594,135.566788,1501.228520,9.689607,6.389830,-16.702103,0.637234,-0.685356,-0.104846,-0.336481,-0.474514,-0.349972,0.000000
17.100000,165.209700,138.204038,1493.747862,9.324177,5.357166,-16.558842,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349978,0.000000
17.550000,169.331898,140.407364,1486.316164,9.003695,4.455835,-16.480603,0.637227,-0.685364,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
18.000000,173.318466,142.230212,1478.908442,8.719793,3.661557,-16.448763,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
18.450000,177.184371,143.716421,1471.507125,8.466245,2.956273,-16.449500,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
18.900000,180.942055,144.902512,1464.100256,8.238357,2.326365,-16.472626,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
19.350000,184.602200,145.819887,1456.679572,8.032422,1.761081,-16.510447,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
19.800000,188.174069,146.495845,1449.239596,7.845470,1.251788,-16.557139,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
20.250000,191.665629,146.953906,1441.777410,7.675148,0.791652,-16.608574,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
20.700000,195.083883,147.214790,1434.291641,7.519529,0.375057,-16.661755,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
21.150000,198.435080,147.297023,1426.781998,7.376990,-0.002733,-16.714510,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
21.600000,201.724817,147.217220,1419.248977,7.246148,-0.345763,-16.765312,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
22.050000,204.958097,146.990255,1411.693685,7.125821,-0.657497,-16.813174,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
22.500000,208.139409,146.629504,1404.117627,7.014990,-0.940935,-16.857511,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
22.950000,211.272811,146.147066,1396.522474,6.912757,-1.198717,-16.898009,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
23.400000,214.361988,145.553937,1388.909982,6.818327,-1.433197,-16.934551,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
23.850000,217.410298,144.860158,1381.281929,6.730983,-1.646491,-16.967159,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
24.300000,220.420786,144.074828,1373.640066,6.650089,-1.840490,-16.995969,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
24.750000,223.396204,143.206187,1365.986053,6.575074,-2.016896,-17.021183,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
25.200000,226.339106,142.261881,1358.321467,6.505406,-2.177276,-17.043033,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
25.650000,229.251824,141.248906,1350.647773,6.440597,-2.323059,-17.061773,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
26.100000,232.136390,140.173331,1342.966272,6.380257,-2.455495,-17.077679,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
26.550000,234.994765,139.041013,1335.278226,6.324012,-2.575790,-17.091034,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
27.000000,237.828662,137.857132,1327.584725,6.271463,-2.684970,-17.102095,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
27.450000,240.639607,136.626350,1319.886730,6.222193,-2.783926,-17.111101,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
27.900000,243.428979,135.353180,1312.185145,6.175674,-2.873437,-17.118271,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
28.350000,246.197731,134.041726,1304.480713,6.131041,-2.953957,-17.123761,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
28.800000,248.946710,132.695997,1296.774142,6.087399,-3.025893,-17.127719,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
29.250000,251.676368,131.319678,1289.066068,6.044278,-3.089784,-17.130300,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
29.700000,254.386847,129.916208,1281.357067,6.001540,-3.146270,-17.131671,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
30.150000,257.078260,128.488870,1273.647682,5.959110,-3.195992,-17.131992,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
30.600000,259.750654,127.040500,1265.938345,5.917083,-3.239592,-17.131408,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
31.050000,262.404079,125.573829,1258.229466,5.875572,-3.277700,-17.130061,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
31.500000,265.038784,124.091235,1250.521369,5.834517,-3.310800,-17.128052,0.637228,-0.685363,-0.104847,-0.336478,-0.474523,-0.349979,0.000000
