# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.905388,-0.044975,0.020947,-0.421677,0.000000,0.000000,0.000000
0.450000,-0.000000,-0.000000,668.000000,-0.000000,-0.000000,-0.000001,0.905388,-0.044975,0.020947,-0.421677,0.000000,-0.000000,0.000000
0.900000,0.000000,-0.000000,668.000000,0.000000,0.000000,0.000000,0.905388,-0.044975,0.020947,-0.421677,-0.000000,-0.000000,0.000000
1.350000,0.036319,0.030533,668.476404,0.296083,0.248913,3.883810,0.905388,-0.044975,0.020947,-0.421677,-0.000000,0.000000,0.000000
1.800000,0.380926,0.320130,672.989967,1.335053,1.116153,17.131661,0.905388,-0.044978,0.020937,-0.421676,0.000191,-0.001142,0.000000
2.250000,1.381554,1.139579,684.811024,3.173280,2.591485,36.333830,0.905455,-0.045783,0.018428,-0.421564,0.002599,-0.024935,0.000000
2.700000,3.276053,2.742842,706.643546,5.224434,4.642330,61.330359,0.905618,-0.049366,0.009317,-0.421108,0.001668,-0.063509,0.000000
3.150000,5.982345,5.389424,739.755589,6.628761,7.155493,84.703290,0.905615,-0.057249,-0.006518,-0.420168,-0.007282,-0.085874,0.000000
3.600000,9.104279,9.206320,781.860921,7.121001,9.683860,100.479129,0.905234,-0.066308,-0.019145,-0.419271,-0.017241,-0.037651,0.000000
4.050000,12.336579,13.948433,828.605485,7.241218,11.222661,106.062773,0.904978,-0.069695,-0.017818,-0.419332,-0.012445,0.027158,0.000000
4.500000,15.627530,19.142936,876.335067,7.384930,11.708906,105.188284,0.904956,-0.068697,-0.011992,-0.419752,-0.002471,0.009818,0.000000
4.950000,18.973560,24.403170,922.778522,7.474053,11.652148,101.091606,0.904871,-0.070665,-0.014965,-0.419512,-0.004367,-0.036996,0.000000
5.400000,22.339920,29.632574,967.261187,7.472881,11.598831,96.565394,0.904559,-0.076232,-0.022575,-0.418869,-0.011881,-0.036778,0.000000
5.850000,25.692065,34.845532,1009.648030,7.425621,11.569453,91.799712,0.904191,-0.081174,-0.026019,-0.418535,-0.014027,-0.009749,0.000000
6.300000,29.027439,40.039310,1049.867097,7.404745,11.500384,86.919397,0.903933,-0.084085,-0.025414,-0.418555,-0.011575,-0.001036,0.000000
6.750000,32.361346,45.187464,1087.869213,7.415417,11.373332,81.973835,0.903688,-0.086914,-0.025798,-0.418484,-0.010446,-0.014774,0.000000
7.200000,35.701197,50.271109,1123.636017,7.425388,11.213436,76.953247,0.903317,-0.091389,-0.029411,-0.418091,-0.012725,-0.029949,0.000000
7.650000,39.041545,55.280176,1157.124938,7.418214,11.054393,71.904601,0.902769,-0.097455,-0.034727,-0.417498,-0.016554,-0.033936,0.000000
8.100000,42.376045,60.222969,1188.359164,7.401033,10.914864,66.919292,0.902085,-0.104188,-0.039544,-0.416922,-0.019847,-0.029760,0.000000
8.550000,45.702783,65.105370,1217.364195,7.385566,10.786332,62.007280,0.901319,-0.111034,-0.043133,-0.416455,-0.022162,-0.025667,0.000000
9.000000,49.024326,69.931697,1244.179564,7.377899,10.657829,57.159639,0.900464,-0.118126,-0.046145,-0.416029,-0.024232,-0.026380,0.000000
9.450000,52.343692,74.692360,1268.799137,7.375825,10.501386,52.275055,0.899454,-0.125985,-0.049593,-0.415512,-0.026927,-0.031876,0.000000
9.900000,55.663143,79.383727,1291.239150,7.377638,10.350208,47.470979,0.898193,-0.135140,-0.054150,-0.414795,-0.030739,-0.039982,0.000000
10.350000,58.983661,84.008699,1311.533790,7.380142,10.206637,42.738668,0.896574,-0.145973,-0.060020,-0.413817,-0.035790,-0.048818,0.000000
10.800000,62.304924,88.571156,1329.713438,7.380268,10.072816,38.069641,0.894482,-0.158742,-0.067127,-0.412549,-0.042115,-0.057334,0.000000
11.250000,65.625304,93.075809,1345.804861,7.376493,9.949417,33.456586,0.891787,-0.173626,-0.075144,-0.411002,-0.049954,-0.064693,0.000000
11.700000,68.943498,97.526838,1359.831816,7.370877,9.834105,28.893254,0.888329,-0.190849,-0.083828,-0.409170,-0.059206,-0.072373,0.000000
12.150000,72.259051,101.927423,1371.815432,7.364967,9.724927,24.374184,0.883887,-0.210749,-0.093227,-0.406985,-0.069913,-0.081588,0.000000
12.600000,75.572057,106.279972,1381.774424,7.359648,9.620421,19.894075,0.878160,-0.233752,-0.103570,-0.404310,-0.082214,-0.093098,0.000000
13.050000,78.882867,110.586376,1389.725208,7.355221,9.519726,15.448020,0.870747,-0.260337,-0.115165,-0.400948,-0.096274,-0.107254,0.000000
13.500000,82.191880,114.848185,1395.682061,7.351626,9.422078,11.031450,0.861127,-0.290983,-0.128324,-0.396637,-0.112244,-0.124154,0.000000
13.950000,85.499424,119.066491,1399.657409,7.348642,9.326021,6.641003,0.848629,-0.326137,-0.143327,-0.391050,-0.130358,-0.143897,0.000000
14.400000,88.805709,123.241306,1401.662536,7.345988,9.227955,2.276514,0.832375,-0.366248,-0.160422,-0.383765,-0.151293,-0.167089,0.000000
14.850000,92.110815,127.370302,1401.710526,7.343348,9.120968,-2.055247,0.811127,-0.411922,-0.179907,-0.374197,-0.176872,-0.195657,0.000000
15.300000,95.414681,131.447621,1399.820028,7.340444,8.997254,-6.336546,0.782924,-0.464202,-0.202254,-0.361432,-0.210558,-0.233421,0.000000
15.750000,98.717163,135.465261,1396.019231,7.337206,8.856642,-10.539203,0.744599,-0.524593,-0.228129,-0.343998,-0.256392,-0.284877,0.000000
16.200000,102.018183,139.419251,1390.348983,7.333835,8.709916,-14.608678,0.691867,-0.593771,-0.257832,-0.319902,-0.315839,-0.351642,0.000000
16.650000,105.314733,143.182299,1383.302457,7.311851,7.778189,-15.848397,0.672005,-0.616579,-0.267636,-0.310804,-0.336412,-0.374750,0.000000
17.100000,108.598714,146.418231,1376.154239,7.284118,6.629965,-15.927969,0.671980,-0.616607,-0.267648,-0.310792,-0.336437,-0.374778,0.000000
17.550000,111.870796,149.168275,1368.962941,7.258858,5.613083,-16.038182,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
18.000000,115.131984,151.486120,1361.716939,7.235620,4.705428,-16.168984,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
18.450000,118.383107,153.417034,1354.409066,7.214047,3.889503,-16.311134,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
18.900000,121.624844,154.998889,1347.035954,7.193870,3.152188,-16.458058,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
19.350000,124.857771,156.264449,1339.596731,7.174877,2.483114,-16.604904,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
19.800000,128.082385,157.242651,1332.092146,7.156895,1.873836,-16.748042,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
20.250000,131.299111,157.958859,1324.524435,7.139800,1.317535,-16.884963,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
20.700000,134.508311,158.435593,1316.896830,7.123431,0.808654,-17.014034,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
21.150000,137.710163,158.693204,1309.213089,7.107125,0.342951,-17.134315,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
21.600000,140.904464,158.750375,1301.477289,7.089542,-0.082571,-17.245434,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
22.050000,144.090368,158.624569,1293.693591,7.069445,-0.470484,-17.347288,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
22.500000,147.266719,158.332003,1285.866166,7.046908,-0.824024,-17.439823,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
22.950000,150.432424,157.887519,1277.999163,7.022590,-1.146539,-17.523132,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
23.400000,153.586725,157.304479,1270.096652,6.996407,-1.440446,-17.597630,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
23.850000,156.728870,156.595112,1262.162507,6.968463,-1.708059,-17.663816,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
24.300000,159.858099,155.770747,1254.200347,6.938916,-1.951541,-17.722232,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
24.750000,162.973686,154.841874,1246.213533,6.907873,-2.172842,-17.773457,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
25.200000,166.074987,153.818089,1238.205172,6.875446,-2.373751,-17.818089,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
25.650000,169.161406,152.708153,1230.178087,6.841738,-2.555898,-17.856725,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
26.100000,172.232384,151.520219,1222.134870,6.806847,-2.720798,-17.889943,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
26.550000,175.287402,150.261859,1214.077882,6.770865,-2.869862,-17.918294,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
27.000000,178.326002,148.939706,1206.009118,6.733875,-3.004329,-17.942279,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
27.450000,181.347742,147.560152,1197.930476,6.695959,-3.125394,-17.962389,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
27.900000,184.352218,146.129016,1189.843621,6.657190,-3.234149,-17.979066,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
28.350000,187.339076,144.651415,1181.749927,6.617637,-3.331560,-17.992693,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
28.800000,190.307972,143.132331,1173.650714,6.577365,-3.418569,-18.003639,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
29.250000,193.258599,141.576186,1165.547086,6.536433,-3.496015,-18.012220,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
29.700000,196.190671,139.987165,1157.440050,6.494895,-3.564693,-18.018732,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
30.150000,199.103919,138.369163,1149.330519,6.452805,-3.625347,-18.023444,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
30.600000,201.998115,136.725509,1141.219209,6.410207,-3.678614,-18.026577,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
31.050000,204.873035,135.059438,1133.106805,6.367146,-3.725113,-18.028343,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
31.500000,207.728481,133.373861,1124.993882,6.323662,-3.765404,-18.028924,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
31.950000,210.564269,131.671479,1116.880943,6.279791,-3.800007,-18.028480,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
32.400000,213.380226,129.954835,1108.768443,6.235570,-3.829412,-18.027158,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
32.850000,216.176214,128.225995,1100.656698,6.191026,-3.854019,-18.025063,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
33.300000,218.952100,126.486928,1092.545995,6.146186,-3.874210,-18.022292,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
33.750000,221.707755,124.739605,1084.436620,6.101079,-3.890366,-18.018943,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
34.200000,224.443051,122.985899,1076.328843,6.055729,-3.902851,-18.015106,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
34.650000,227.157893,121.227319,1068.222863,6.010158,-3.911957,-18.010852,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
35.100000,229.852186,119.465282,1060.118865,5.964386,-3.917961,-18.006244,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
35.550000,232.525839,117.701208,1052.017031,5.918431,-3.921136,-18.001344,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
36.000000,235.178765,115.936448,1043.917528,5.872313,-3.921746,-17.996211,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
36.450000,237.810898,114.172033,1035.820445,5.826045,-3.919992,-17.990879,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
36.900000,240.422181,112.408902,1027.725844,5.779642,-3.916058,-17.985373,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
37.350000,243.012554,110.647992,1019.633791,5.733115,-3.910127,-17.979720,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
37.800000,245.581961,108.890210,1011.544344,5.686479,-3.902376,-17.973942,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
38.250000,248.130358,107.136294,1003.457533,5.639742,-3.892949,-17.968054,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
38.700000,250.657706,105.386918,995.373376,5.592915,-3.881980,-17.962062,0.671984,-0.616603,-0.267646,-0.310794,-0.336433,-0.374774,0.000000
