# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000
0.450000,0.745344,-0.000033,1475.689871,4.010681,-0.002384,22.508106,0.704417,-0.061642,0.061619,-0.704415,-0.000409,-0.002344,0.000000
0.900000,3.854476,0.003506,1492.220737,9.877283,0.092720,51.264222,0.704716,-0.068087,0.057959,-0.703832,-0.022186,-0.066698,0.000000
1.350000,9.719639,0.241605,1522.009833,16.303011,1.228768,81.122328,0.705067,-0.089378,0.050101,-0.701700,-0.060706,-0.096962,0.000000
1.800000,18.655641,1.335917,1565.146373,23.532836,3.756055,110.394403,0.704320,-0.104276,0.052182,-0.700240,-0.028982,0.038257,0.000000
2.250000,30.922486,3.524635,1621.160931,30.904586,5.735936,138.294724,0.703503,-0.095051,0.061916,-0.701580,0.001553,0.015958,0.000000
2.700000,46.400524,6.443758,1689.319731,37.899653,7.361012,164.328792,0.703314,-0.103409,0.061550,-0.700619,-0.028707,0.004413,0.000000
3.150000,65.019152,10.131085,1768.753210,44.455117,8.830255,187.106375,0.702758,-0.100870,0.066817,-0.701065,-0.017162,-0.018766,0.000000
3.600000,85.561074,14.224381,1854.159910,46.245728,9.237870,189.970000,0.702280,-0.103166,0.070220,-0.700877,-0.005275,0.025800,0.000000
4.050000,106.387599,18.378857,1938.735408,46.145757,9.215746,185.229563,0.701894,-0.105609,0.072849,-0.700631,-0.017652,0.011584,0.000000
4.500000,127.064708,22.512033,2020.755949,45.749732,9.145608,179.327002,0.701391,-0.106022,0.076700,-0.700661,-0.019293,-0.004339,0.000000
4.950000,147.567018,26.618111,2100.145045,45.378023,9.099187,173.529743,0.700872,-0.107561,0.080376,-0.700535,-0.009294,0.007631,0.000000
5.400000,167.905107,30.698751,2176.948239,45.015440,9.047316,167.833447,0.700585,-0.109817,0.082162,-0.700264,-0.017234,0.005085,0.000000
5.850000,188.085595,34.760279,2251.208335,44.677058,8.999381,162.226733,0.700139,-0.111104,0.085207,-0.700143,-0.013007,-0.002000,0.000000
6.300000,208.115739,38.801691,2322.965378,44.350163,8.964864,156.706708,0.699702,-0.113415,0.087979,-0.699867,-0.016127,0.006924,0.000000
6.750000,228.003400,42.826660,2392.256415,44.040476,8.924798,151.266823,0.699256,-0.115382,0.090804,-0.699630,-0.016783,-0.000520,0.000000
7.200000,247.754364,46.836516,2459.116752,43.744941,8.896525,145.902082,0.698722,-0.117717,0.094106,-0.699338,-0.017394,0.004877,0.000000
7.650000,267.375756,50.832717,2523.579012,43.462759,8.865764,140.608399,0.698203,-0.120174,0.097224,-0.699012,-0.019215,0.000926,0.000000
8.100000,286.872954,54.817152,2585.674234,43.194062,8.842722,135.380834,0.697587,-0.122837,0.100850,-0.698650,-0.020002,0.004000,0.000000
8.550000,306.252212,58.790705,2645.431193,42.937770,8.817053,130.215840,0.696969,-0.125721,0.104385,-0.698235,-0.021348,-0.000674,0.000000
9.000000,325.518864,62.752698,2702.877223,42.693786,8.793671,125.109232,0.696408,-0.129579,0.107380,-0.697635,-0.022294,-0.002186,0.000000
9.450000,344.678208,66.705693,2758.037780,42.460630,8.774344,120.057755,0.695726,-0.133261,0.110991,-0.697057,-0.024368,-0.000114,0.000000
9.900000,363.735129,70.649175,2810.936958,42.238649,8.752946,115.058013,0.695007,-0.137517,0.114644,-0.696356,-0.026023,-0.002855,0.000000
10.350000,382.694523,74.584121,2861.597277,42.026929,8.735870,110.106853,0.694203,-0.141998,0.118600,-0.695595,-0.028069,-0.000702,0.000000
10.800000,401.560834,78.511184,2910.040006,41.825003,8.717620,105.201547,0.693287,-0.146772,0.122981,-0.694757,-0.030469,-0.002270,0.000000
