# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.892773,-0.051645,0.025846,-0.446791,0.000000,0.000000,0.000000
0.450000,-0.000000,-0.000000,668.000000,-0.000000,-0.000000,-0.000000,0.892773,-0.051645,0.025846,-0.446791,0.000000,-0.000000,0.000000
0.900000,0.082339,0.061661,668.886156,0.730180,0.546809,7.858382,0.892773,-0.051645,0.025846,-0.446791,0.000000,-0.000000,0.000000
1.350000,0.989152,0.736330,678.407703,3.650549,2.692416,36.993438,0.892802,-0.051829,0.025069,-0.446755,0.003696,-0.016493,0.000000
1.800000,3.569219,2.690548,704.434930,7.833618,6.208689,80.202768,0.893097,-0.054837,0.015240,-0.446249,0.009912,-0.076953,0.000000
2.250000,7.757008,6.364252,749.090960,10.361783,10.024936,114.967751,0.893273,-0.062711,-0.002766,-0.445110,-0.005604,-0.070169,0.000000
2.700000,12.587010,11.401211,803.936092,10.971292,12.020055,125.786883,0.893043,-0.066747,-0.003426,-0.444981,-0.017628,0.041411,0.000000
3.150000,17.572937,16.901316,860.290665,11.168730,12.266443,123.713908,0.892904,-0.065311,0.004032,-0.445466,-0.000146,-0.002701,0.000000
3.600000,22.622533,22.405740,915.040039,11.237293,12.202602,119.470060,0.892916,-0.068802,-0.003291,-0.444922,-0.003273,-0.048083,0.000000
4.050000,27.661363,27.893918,967.721626,11.149058,12.186693,114.579413,0.892733,-0.073123,-0.007165,-0.444556,-0.013535,0.003483,0.000000
4.500000,32.664349,33.359321,1018.110078,11.098625,12.078285,109.305557,0.892552,-0.074280,-0.003573,-0.444770,-0.008371,0.006980,0.000000
4.950000,37.653701,38.747251,1066.046532,11.074550,11.869197,103.766179,0.892441,-0.076602,-0.005257,-0.444582,-0.005241,-0.027419,0.000000
5.400000,42.624416,44.046681,1111.503086,11.010443,11.692957,98.276922,0.892252,-0.081110,-0.010459,-0.444069,-0.010677,-0.025051,0.000000
5.850000,47.560475,49.274559,1154.500027,10.925674,11.529266,92.751942,0.891972,-0.085155,-0.012074,-0.443834,-0.014258,-0.005381,0.000000
6.300000,52.461040,54.417791,1194.976071,10.860267,11.327361,87.166788,0.891690,-0.088328,-0.011446,-0.443796,-0.013201,-0.006259,0.000000
6.750000,57.337969,59.468384,1232.971893,10.816186,11.120772,81.725957,0.891396,-0.092208,-0.012842,-0.443560,-0.012726,-0.020523,0.000000
7.200000,62.195154,64.429078,1268.548587,10.769969,10.930762,76.412877,0.891019,-0.097478,-0.016495,-0.443070,-0.015317,-0.027575,0.000000
7.650000,67.030006,69.309633,1301.760643,10.717960,10.763974,71.214425,0.890519,-0.103579,-0.020090,-0.442542,-0.019213,-0.024382,0.000000
8.100000,71.841739,74.118918,1332.657291,10.667994,10.612676,66.120844,0.889910,-0.109950,-0.022374,-0.442120,-0.022683,-0.019492,0.000000
8.550000,76.631811,78.862387,1361.283793,10.622275,10.470435,61.123392,0.889190,-0.116664,-0.023533,-0.441788,-0.026581,-0.017264,0.000000
9.000000,81.402946,83.542992,1387.681440,10.584050,10.332981,56.213270,0.888316,-0.124203,-0.024342,-0.441447,-0.030688,-0.020086,0.000000
9.450000,86.158407,88.162904,1411.887568,10.552147,10.201092,51.382023,0.887236,-0.133053,-0.025692,-0.440963,-0.035052,-0.026428,0.000000
9.900000,90.900375,92.725141,1433.935864,10.523589,10.076974,46.621557,0.885888,-0.143516,-0.027976,-0.440253,-0.040092,-0.033718,0.000000
10.350000,95.629800,97.233518,1453.856472,10.496143,9.961749,41.924444,0.884191,-0.155771,-0.031118,-0.439287,-0.046271,-0.040516,0.000000
10.800000,100.346960,101.691962,1471.676333,10.469074,9.854847,37.283817,0.882035,-0.170015,-0.034871,-0.438056,-0.053944,-0.046877,0.000000
11.250000,105.052048,106.103931,1487.419478,10.442548,9.754943,32.693639,0.879270,-0.186543,-0.039054,-0.436531,-0.063385,-0.053581,0.000000
11.700000,109.745395,110.472237,1501.107322,10.416960,9.660561,28.148241,0.875693,-0.205781,-0.043633,-0.434639,-0.074850,-0.061513,0.000000
12.150000,114.427495,114.799099,1512.758849,10.392591,9.570577,23.642498,0.871023,-0.228263,-0.048700,-0.432251,-0.088605,-0.071349,0.000000
12.600000,119.098916,119.086302,1522.390788,10.369495,9.484208,19.171522,0.864882,-0.254600,-0.054425,-0.429177,-0.104918,-0.083500,0.000000
13.050000,123.760215,123.335360,1530.017762,10.347577,9.400972,14.730812,0.856763,-0.285438,-0.060998,-0.425155,-0.124035,-0.098170,0.000000
13.500000,128.411878,127.547567,1535.652458,10.326611,9.320324,10.316328,0.846002,-0.321406,-0.068600,-0.419843,-0.146181,-0.115471,0.000000
13.950000,133.054246,131.723852,1539.305992,10.306174,9.241005,5.925331,0.831724,-0.363098,-0.077390,-0.412799,-0.171770,-0.135648,0.000000
14.400000,137.687380,135.864196,1540.988444,10.285376,9.159882,1.558361,0.812748,-0.411121,-0.087515,-0.403429,-0.202023,-0.159602,0.000000
14.850000,142.310803,139.966622,1540.712686,10.262593,9.070852,-2.774516,0.787383,-0.466265,-0.099152,-0.390889,-0.239957,-0.189677,0.000000
15.300000,146.923013,144.025231,1538.498066,10.225042,8.924250,-6.862665,0.755361,-0.525630,-0.111694,-0.375040,-0.287163,-0.227103,0.000000
15.750000,151.477452,147.858645,1535.148612,10.020291,8.126518,-8.007243,0.755366,-0.525620,-0.111692,-0.375043,-0.287155,-0.227096,0.000000
16.200000,155.942952,151.345809,1531.299968,9.828773,7.381549,-9.085534,0.755361,-0.525630,-0.111694,-0.375040,-0.287163,-0.227103,0.000000
16.650000,160.324837,154.508038,1526.981622,9.648010,6.679786,-10.096198,0.755362,-0.525627,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
17.100000,164.627497,157.363037,1522.223490,9.476435,6.015224,-11.039742,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
17.550000,168.854796,159.926522,1517.055924,9.312926,5.383600,-11.915971,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
18.000000,173.010170,162.212581,1511.509034,9.156777,4.782258,-12.725435,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
18.450000,177.096863,164.234590,1505.612690,9.007472,4.209275,-13.469086,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
18.900000,181.117875,166.005019,1499.396115,8.864734,3.663647,-14.148663,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
19.350000,185.076098,167.535945,1492.887677,8.728400,3.144789,-14.766492,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
19.800000,188.974386,168.839314,1486.114582,8.598352,2.652275,-15.325432,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
20.250000,192.815545,169.926895,1479.102568,8.474493,2.185743,-15.828762,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
20.700000,196.602340,170.810305,1471.875942,8.356730,1.744823,-16.280037,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
21.150000,200.337491,171.500970,1464.457270,8.244953,1.329066,-16.683011,0.755362,-0.525628,-0.111694,-0.375041,-0.287161,-0.227101,0.000000
