# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.892663,-0.040722,0.020456,-0.448415,0.000000,0.000000,0.000000
0.450000,0.000001,0.000001,668.000016,0.000282,0.000210,0.003848,0.892663,-0.040722,0.020456,-0.448415,-0.000000,0.000000,0.000000
0.900000,0.179751,0.133768,670.450748,1.224183,0.911020,16.690682,0.892663,-0.040722,0.020456,-0.448415,-0.000000,0.000000,0.000000
1.350000,1.412732,1.039567,686.553964,4.567494,3.364597,58.547951,0.892742,-0.041401,0.017679,-0.448313,0.007820,-0.036666,0.000000
1.800000,4.280436,3.311304,724.297114,7.788002,6.731327,106.247201,0.893013,-0.046103,0.002489,-0.447655,0.011563,-0.093328,0.000000
2.250000,8.024375,6.922192,777.636834,8.543712,8.953779,125.393835,0.892966,-0.052178,-0.010159,-0.446975,-0.011172,-0.006618,0.000000
2.700000,11.878317,11.090985,834.175750,8.590084,9.383951,124.437815,0.892845,-0.051682,-0.002151,-0.447384,-0.009960,0.038801,0.000000
3.150000,15.773284,15.301773,889.285181,8.711986,9.306782,120.306079,0.892826,-0.052111,-0.002206,-0.447371,0.003735,-0.039490,0.000000
3.600000,19.693639,19.472069,942.335493,8.683175,9.240289,115.360356,0.892769,-0.056286,-0.010844,-0.446853,-0.004960,-0.027406,0.000000
4.050000,23.579279,23.617169,993.025674,8.593789,9.165581,109.846283,0.892644,-0.058363,-0.010414,-0.446846,-0.010670,0.014236,0.000000
4.500000,27.440901,27.708491,1041.196501,8.579016,9.006162,104.247236,0.892555,-0.059185,-0.008027,-0.446966,-0.004824,-0.006328,0.000000
4.950000,31.301341,31.720157,1086.855525,8.570796,8.822813,98.646558,0.892463,-0.061970,-0.011923,-0.446686,-0.003340,-0.030274,0.000000
5.400000,35.147652,35.653286,1129.971486,8.519649,8.665120,93.004373,0.892295,-0.065792,-0.016760,-0.446319,-0.008177,-0.019253,0.000000
5.850000,38.969096,39.521834,1170.580494,8.468220,8.528203,87.502887,0.892101,-0.068870,-0.017876,-0.446199,-0.011151,-0.004390,0.000000
6.300000,42.773361,43.326993,1208.743972,8.443952,8.381544,82.133456,0.891908,-0.071567,-0.017767,-0.446165,-0.010434,-0.008457,0.000000
6.750000,46.570874,47.064606,1244.518404,8.434402,8.231070,76.882884,0.891682,-0.075050,-0.019749,-0.445961,-0.009740,-0.021099,0.000000
7.200000,50.363611,50.737002,1277.954522,8.420716,8.093734,71.738794,0.891380,-0.079638,-0.023738,-0.445575,-0.011327,-0.027377,0.000000
7.650000,54.148410,54.351619,1309.097765,8.399925,7.973762,66.691033,0.890985,-0.084910,-0.027860,-0.445151,-0.014417,-0.025681,0.000000
8.100000,57.923211,57.915211,1337.989630,8.376588,7.866115,61.731193,0.890510,-0.090513,-0.030998,-0.444791,-0.017927,-0.021612,0.000000
8.550000,61.687455,61.432153,1364.667855,8.354087,7.765368,56.851432,0.889946,-0.096502,-0.032998,-0.444516,-0.021952,-0.018891,0.000000
9.000000,65.442765,64.904398,1389.166910,8.337256,7.667125,52.044922,0.889262,-0.103219,-0.034491,-0.444262,-0.025740,-0.020676,0.000000
9.450000,69.191811,68.332915,1411.518216,8.325909,7.571231,47.304677,0.888413,-0.111056,-0.036393,-0.443920,-0.029385,-0.026385,0.000000
9.900000,72.936521,71.719103,1431.750045,8.317511,7.479281,42.623907,0.887340,-0.120327,-0.039282,-0.443402,-0.033449,-0.034042,0.000000
10.350000,76.677661,75.065028,1449.887648,8.309726,7.392404,37.995946,0.885971,-0.131283,-0.043311,-0.442656,-0.038497,-0.042200,0.000000
10.800000,80.415191,78.373045,1465.953433,8.301378,7.310724,33.414884,0.884205,-0.144172,-0.048397,-0.441649,-0.044930,-0.050446,0.000000
11.250000,84.148791,81.645353,1479.967254,8.292288,7.233542,28.875232,0.881905,-0.159302,-0.054427,-0.440345,-0.052992,-0.059127,0.000000
11.700000,87.878185,84.883770,1491.946614,8.282752,7.159939,24.372035,0.878886,-0.177063,-0.061369,-0.438681,-0.062849,-0.068866,0.000000
12.150000,91.603258,88.089712,1501.906843,8.273150,7.089099,19.900547,0.874899,-0.197918,-0.069296,-0.436551,-0.074617,-0.080243,0.000000
12.600000,95.324051,91.264305,1509.861190,8.263767,7.020539,15.456253,0.869612,-0.222373,-0.078360,-0.433800,-0.088356,-0.093628,0.000000
13.050000,99.040701,94.408502,1515.820895,8.254744,6.953971,11.034781,0.862594,-0.250928,-0.088748,-0.430217,-0.104047,-0.109150,0.000000
