# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.901198,-0.040233,0.019247,-0.431107,0.000000,0.000000,0.000000
0.450000,0.015957,0.012862,668.229077,0.304691,0.245589,4.374162,0.901198,-0.040233,0.019247,-0.431107,0.000000,-0.000000,0.000000
0.900000,0.911749,0.729993,680.871588,4.340424,3.452036,60.061174,0.901221,-0.040463,0.018376,-0.431075,0.003844,-0.021068,0.000000
1.350000,4.027994,3.324916,724.510283,8.740840,7.714294,124.976632,0.901459,-0.044704,0.005305,-0.430518,0.008329,-0.090095,0.000000
1.800000,8.126194,7.165843,784.088699,9.170968,8.933807,133.948418,0.901439,-0.049804,-0.004392,-0.430010,-0.012083,0.014709,0.000000
2.250000,12.248647,11.228808,843.647907,9.186253,9.040877,130.363066,0.901311,-0.048437,0.004442,-0.430434,-0.005716,0.023840,0.000000
2.700000,16.400314,15.258602,901.156453,9.237976,8.858996,124.995614,0.901320,-0.050291,0.000659,-0.430225,0.001377,-0.046901,0.000000
3.150000,20.536485,19.215664,956.072702,9.129898,8.742016,119.064464,0.901262,-0.054076,-0.005560,-0.429852,-0.008265,-0.005982,0.000000
3.600000,24.619809,23.119628,1008.272909,9.032664,8.590185,112.900311,0.901153,-0.054943,-0.002385,-0.429998,-0.008594,0.014422,0.000000
4.050000,28.677563,26.937699,1057.709475,9.005420,8.377080,106.849656,0.901080,-0.056311,-0.002195,-0.429976,-0.003794,-0.019502,0.000000
4.500000,32.720676,30.664367,1104.464630,8.956329,8.195652,100.979209,0.900996,-0.059745,-0.007145,-0.429635,-0.005941,-0.025786,0.000000
4.950000,36.734260,34.320492,1148.614803,8.882304,8.056949,95.269736,0.900851,-0.062952,-0.009577,-0.429433,-0.010113,-0.005833,0.000000
5.400000,40.718490,37.915037,1190.229837,8.831194,7.916018,89.709770,0.900694,-0.065256,-0.008850,-0.429434,-0.010594,-0.001335,0.000000
5.850000,44.686371,41.443060,1229.374197,8.806062,7.763803,84.287029,0.900530,-0.067977,-0.009322,-0.429347,-0.009597,-0.013933,0.000000
6.300000,48.644035,44.903889,1266.106535,8.782158,7.620697,78.987056,0.900329,-0.071837,-0.012299,-0.429065,-0.010444,-0.022968,0.000000
6.750000,52.588900,48.304714,1300.479207,8.749476,7.497092,73.797880,0.900061,-0.076405,-0.015788,-0.428723,-0.013102,-0.021236,0.000000
7.200000,56.518288,51.653283,1332.539673,8.714567,7.387107,68.709213,0.899732,-0.081142,-0.018139,-0.428450,-0.016034,-0.015827,0.000000
7.650000,60.432461,54.954123,1362.331423,8.682837,7.283813,63.713286,0.899343,-0.086022,-0.019225,-0.428267,-0.019086,-0.012398,0.000000
8.100000,64.334009,58.208964,1389.894276,8.658688,7.182362,58.801709,0.898877,-0.091408,-0.019849,-0.428100,-0.021883,-0.014167,0.000000
8.550000,68.226217,61.418611,1415.264353,8.640800,7.083335,53.966356,0.898306,-0.097721,-0.020990,-0.427851,-0.024671,-0.019675,0.000000
