# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.903317,-0.028334,0.013420,-0.427827,0.000000,0.000000,0.000000
0.450000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.903317,-0.028334,0.013420,-0.427827,0.000000,-0.000000,0.000000
0.900000,0.039152,0.032062,668.805873,0.355391,0.291028,7.315020,0.903317,-0.028334,0.013420,-0.427827,-0.000000,0.000000,0.000000
1.350000,0.491134,0.399263,677.894951,1.835210,1.474065,35.570985,0.903327,-0.028556,0.012822,-0.427809,0.001141,-0.014317,0.000000
1.800000,1.786544,1.488138,703.035930,3.904875,3.539231,77.854024,0.903417,-0.032063,0.004487,-0.427540,0.001297,-0.068392,0.000000
2.250000,3.825838,3.670279,746.677864,4.916992,6.174336,113.184844,0.903344,-0.039751,-0.010575,-0.426939,-0.006664,-0.055916,0.000000
2.700000,6.070872,6.839944,800.909682,5.036260,7.664448,124.887346,0.903267,-0.041473,-0.010127,-0.426950,-0.005738,0.041552,0.000000
3.150000,8.363167,10.356893,857.019625,5.152722,7.843821,123.370585,0.903293,-0.039484,-0.005094,-0.427172,0.000757,-0.014260,0.000000
3.600000,10.695760,13.880377,911.666364,5.187498,7.830166,119.352589,0.903203,-0.043423,-0.012594,-0.426826,-0.004810,-0.037334,0.000000
4.050000,13.018001,17.412402,964.341140,5.136006,7.858407,114.665170,0.903112,-0.045589,-0.013974,-0.426750,-0.005687,0.013949,0.000000
4.500000,15.328684,20.935515,1014.809605,5.143767,7.780913,109.590234,0.903104,-0.045312,-0.011394,-0.426872,-0.002392,-0.003625,0.000000
4.950000,17.647390,24.405374,1062.906232,5.155263,7.647528,104.185565,0.903012,-0.047870,-0.015244,-0.426667,-0.004320,-0.029505,0.000000
5.400000,19.962058,27.825394,1108.578042,5.128742,7.558268,98.810362,0.902860,-0.051195,-0.019226,-0.426442,-0.006801,-0.011068,0.000000
5.850000,22.264661,31.207945,1151.846576,5.109254,7.464736,93.449618,0.902771,-0.052803,-0.019127,-0.426440,-0.006191,0.000710,0.000000
6.300000,24.564005,34.536558,1192.666714,5.112431,7.327506,87.995001,0.902679,-0.054469,-0.019596,-0.426404,-0.005759,-0.013057,0.000000
6.750000,26.865737,37.803821,1231.060687,5.115637,7.197060,82.664186,0.902503,-0.057671,-0.023003,-0.426185,-0.007319,-0.023983,0.000000
7.200000,29.166312,41.017350,1267.080923,5.107814,7.088615,77.443363,0.902262,-0.061561,-0.026849,-0.425925,-0.009305,-0.019943,0.000000
7.650000,31.462662,44.185334,1300.774869,5.099080,6.991992,72.323673,0.902018,-0.065131,-0.029176,-0.425758,-0.010477,-0.013163,0.000000
8.100000,33.756631,47.310116,1332.186308,5.097282,6.895776,67.297764,0.901768,-0.068571,-0.030732,-0.425639,-0.011459,-0.013724,0.000000
8.550000,36.050676,50.391652,1361.355669,5.098744,6.800399,62.357317,0.901454,-0.072651,-0.032808,-0.425472,-0.013733,-0.018924,0.000000
9.000000,38.345561,53.431239,1388.319408,5.100637,6.710041,57.493607,0.901029,-0.077820,-0.035789,-0.425219,-0.016646,-0.024594,0.000000
9.450000,40.641096,56.431857,1413.110272,5.101540,6.627400,52.698959,0.900472,-0.084051,-0.039476,-0.424885,-0.019584,-0.028582,0.000000
9.900000,42.936828,59.396995,1435.757827,5.101636,6.552080,47.966724,0.899777,-0.091183,-0.043546,-0.424490,-0.022540,-0.031381,0.000000
10.350000,45.232563,62.329540,1456.288803,5.101682,6.482188,43.290972,0.898921,-0.099209,-0.047886,-0.424035,-0.025899,-0.034487,0.000000
10.800000,47.528413,65.231511,1474.727303,5.102205,6.415941,38.665891,0.897855,-0.108342,-0.052628,-0.423496,-0.030090,-0.039083,0.000000
11.250000,49.824633,68.104286,1491.094895,5.103319,6.352317,34.086047,0.896494,-0.118953,-0.058039,-0.422823,-0.035435,-0.045707,0.000000
11.700000,52.121461,70.948931,1505.410741,5.104862,6.290884,29.546174,0.894717,-0.131488,-0.064421,-0.421950,-0.042152,-0.054462,0.000000
12.150000,54.419039,73.766389,1517.691706,5.106612,6.231475,25.041304,0.892357,-0.146429,-0.072053,-0.420791,-0.050414,-0.065339,0.000000
12.600000,56.717420,76.557545,1527.952457,5.108402,6.173974,20.566666,0.889189,-0.164274,-0.081198,-0.419237,-0.060365,-0.078370,0.000000
13.050000,59.016595,79.323247,1536.205559,5.110128,6.118335,16.117662,0.884914,-0.185536,-0.092105,-0.417148,-0.072099,-0.093592,0.000000
13.500000,61.316522,82.064336,1542.461538,5.111748,6.064601,11.689850,0.879140,-0.210707,-0.105007,-0.414342,-0.085600,-0.110974,0.000000
13.950000,63.617153,84.781637,1546.728984,5.113262,6.012576,7.279062,0.871367,-0.240220,-0.120107,-0.410584,-0.100768,-0.130404,0.000000
14.400000,65.918452,87.475591,1549.014819,5.114733,5.960240,2.882410,0.860956,-0.274450,-0.137587,-0.405578,-0.117902,-0.152285,0.000000
14.850000,68.220438,90.144653,1549.325040,5.116377,5.899797,-1.497634,0.846979,-0.314032,-0.157757,-0.398890,-0.139468,-0.179773,0.000000
15.300000,70.523282,92.781702,1547.671136,5.118590,5.816112,-5.857994,0.827491,-0.361119,-0.181694,-0.389608,-0.173151,-0.222659,0.000000
15.750000,72.827579,95.362807,1544.119282,5.124828,5.572557,-9.301660,0.807505,-0.402838,-0.202853,-0.380125,-0.212141,-0.272273,0.000000
16.200000,75.137023,97.740173,1539.709009,5.139189,4.996902,-10.287406,0.807523,-0.402803,-0.202835,-0.380134,-0.212106,-0.272228,0.000000
16.650000,77.452678,99.863325,1534.871617,5.152400,4.443814,-11.196559,0.807516,-0.402817,-0.202842,-0.380130,-0.212120,-0.272246,0.000000
17.100000,79.774009,101.742643,1529.643532,5.164446,3.912096,-12.026325,0.807517,-0.402815,-0.202841,-0.380131,-0.212118,-0.272243,0.000000
17.550000,82.100489,103.387618,1524.059289,5.175274,3.402210,-12.779306,0.807518,-0.402814,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
18.000000,84.431560,104.808154,1518.152846,5.184836,2.914786,-13.458345,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272243,0.000000
18.450000,86.766642,106.014513,1511.956845,5.193094,2.450466,-14.066881,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
18.900000,89.105142,107.017215,1505.502083,5.200020,2.009848,-14.609234,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
19.350000,91.446458,107.827030,1498.817279,5.205601,1.593309,-15.090110,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
19.800000,93.789983,108.454836,1491.928995,5.209842,1.200983,-15.514447,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
20.250000,96.135119,108.911508,1484.861515,5.212759,0.832753,-15.887253,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
20.700000,98.481276,109.207828,1477.636950,5.214381,0.488271,-16.213475,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
21.150000,100.827877,109.354385,1470.275546,5.214748,0.167013,-16.497896,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
21.600000,103.174373,109.361394,1462.794722,5.213908,-0.131783,-16.744977,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
22.050000,105.520228,109.238869,1455.210473,5.211916,-0.408995,-16.959005,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
22.500000,107.864936,108.996303,1447.536723,5.208832,-0.665600,-17.143842,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
22.950000,110.208022,108.642724,1439.785540,5.204718,-0.902661,-17.302970,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
23.400000,112.549032,108.186729,1431.967874,5.199635,-1.121252,-17.439598,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
23.850000,114.887550,107.636282,1424.093057,5.193644,-1.322456,-17.556538,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
24.300000,117.223179,106.999045,1416.169675,5.186807,-1.507352,-17.656411,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
24.750000,119.555555,106.282004,1408.204664,5.179182,-1.677009,-17.741405,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
25.200000,121.884331,105.491896,1400.204442,5.170827,-1.832482,-17.813567,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
25.650000,124.209195,104.634791,1392.174243,5.161796,-1.974763,-17.874593,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
26.100000,126.529851,103.716490,1384.118841,5.152140,-2.104818,-17.926040,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
26.550000,128.846031,102.742226,1376.042166,5.141909,-2.223548,-17.969209,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
27.000000,131.157489,101.716907,1367.947668,5.131151,-2.331813,-18.005257,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
27.450000,133.463991,100.645101,1359.838380,5.119906,-2.430423,-18.035204,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
27.900000,135.765330,99.530911,1351.716773,5.108204,-2.520116,-18.059889,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
28.350000,138.061307,98.378272,1343.585138,5.096081,-2.601608,-18.080095,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
28.800000,140.351757,97.190640,1335.445267,5.083602,-2.675552,-18.096442,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
29.250000,142.636518,95.971333,1327.298816,5.070829,-2.742578,-18.109503,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
29.700000,144.915428,94.723326,1319.147137,5.057708,-2.803209,-18.119745,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
30.150000,147.188321,93.449389,1310.991404,5.044114,-2.857900,-18.127563,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
30.600000,149.454859,92.152163,1302.832657,5.029653,-2.906960,-18.133288,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
31.050000,151.714463,90.834102,1294.671741,5.013548,-2.950482,-18.137146,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
31.500000,153.966470,89.497616,1286.509455,4.995282,-2.988656,-18.139370,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
31.950000,156.209987,88.144991,1278.346481,4.975424,-3.022088,-18.140227,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
32.400000,158.444250,86.778310,1270.183394,4.954288,-3.051247,-18.139934,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
32.850000,160.668674,85.399428,1262.020674,4.931867,-3.076443,-18.138654,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
33.300000,162.882763,84.010000,1253.858717,4.908288,-3.098007,-18.136531,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
33.750000,165.085962,82.611762,1245.697907,4.883664,-3.116278,-18.133705,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
34.200000,167.277805,81.206157,1237.538539,4.858081,-3.131534,-18.130282,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
34.650000,169.457952,79.794271,1229.380815,4.831608,-3.143987,-18.126337,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
35.100000,171.625999,78.377371,1221.224963,4.804326,-3.153885,-18.121955,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
35.550000,173.781622,76.956481,1213.071155,4.776298,-3.161427,-18.117200,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
36.000000,175.924570,75.532395,1204.919507,4.747574,-3.166768,-18.112118,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
36.450000,178.054515,74.106151,1196.770170,4.718221,-3.170111,-18.106765,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
36.900000,180.171112,72.678846,1188.623300,4.688306,-3.171671,-18.101202,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
37.350000,182.274064,71.251423,1180.479022,4.657890,-3.171632,-18.095477,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
37.800000,184.363182,69.824479,1172.337387,4.627010,-3.170111,-18.089610,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
38.250000,186.438297,68.398564,1164.198438,4.595701,-3.167217,-18.083621,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
38.700000,188.499239,66.974221,1156.062214,4.563997,-3.163055,-18.077526,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
39.150000,190.545841,65.551983,1147.928747,4.531931,-3.157731,-18.071339,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
39.600000,192.577941,64.132379,1139.798072,4.499538,-3.151348,-18.065075,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
40.050000,194.595393,62.715875,1131.670218,4.466846,-3.143999,-18.058748,0.807517,-0.402815,-0.202841,-0.380131,-0.212117,-0.272242,0.000000
